ingredient_id;ingredient_name;ingredient_search_term
306;maminha de bovino;maminha de bovino
307;sal grosso;sal grosso
308;chourição;chourição
309;bacon;bacon
310;maionese;maionese
311;queijo Mozzarella ralado;queijo mozzarella ralado
312;queijo flamengo;queijo flamengo
313;broa;broa
314;mostarda;mostarda
315;molho picante;molho picante
316;pimentão doce;pimentão
317;tiras de entrecosto;tiras de entrecosto
318;+ 1 c. de sopa sal;+ 1 c. de sopa sal
319;costeleta de borrego;costeleta de borrego
320;batata nova, bem lavada;batata nova, bem lavada
321;cebola grande, cortada em meias-luas;cebola grande, cortada em meias-luas
322;alho laminado;alho laminado
323;hortelã fresca;hortelã fresca
324;massa de pimentão (opcional);massa de pimentão
325;louro;louro
326;pimenta preta moída na hora;pimenta moída na hora
327;água (ou caldo de carne);água
328;banana;banana
329;flocos de aveia grossos;flocos de aveia grossos
330;maçã em cubos;maçã em cubos
331;mirtilo;mirtilo
332;iogurte natural;iogurte natural
333;farinha integral;farinha
334;fermento;fermento
335;chocolate culinária 70% cacau;chocolate culinária 70% cacau
336;q.b. sal;q.b. sal
337;marshmallows;marshmallows
338;tangerina;tangerina
339;q.b. groselha;q.b. groselha
340;bolachas butter cookies;bolachas butter cookies
341;palitos salgados (tipo pretzel);palitos salgados
342;pão brasileiro;pão brasileiro
343;q.b. sementes de sésamo;q.b. sementes de sésamo
344;talos aipo;talos aipo
345;mini-pimento;mini-pimento
346;q.b. aipo;q.b. aipo
347;q.b. azeitona rodelas;q.b. azeitona rodelas
348;beterraba;beterraba
349;pão da avó familiar;pão da avó familiar
350;sumo limão;sumo limão
351;q.b. cominhos;q.b. cominhos
352;q.b. pimenta;q.b. pimenta
353;pão de Rio Maior;pão de rio maior
354;iogurte grego;iogurte grego
355;Mistura 4 Queijos Ralado;mistura 4 queijos ralado
356;farinha com fermento;farinha com fermento
357;lula limpa congelada;lula limpa
358;preparado para sopa portuguesa;preparado para sopa portuguesa
359;feijão-branco em lata;feijão-branco em lata
360;cominhos moídos;cominhos moídos
361;figo seco enfarinhado;figo seco enfarinhado
362;vinho do Porto;vinho do porto
363;canela;canela
364;cravinho;cravinho
365;pera (médias e grandes);pera
366;requeijão de ovelha e cabra;requeijão de ovelha e cabra
367;feijão-verde;feijão-
368;batata para cozer pequena;batata para cozer pequena
369;(2 x 250 g) tamboril em cubos congelado;tamboril em cubos
370;vinagre;vinagre
371;tomate redondo maduro;tomate redondo maduro
372;lombos de bacalhau descongelado;lombos de bacalhau descongelado
373;ervilhas cozidas;ervilhas
374;Milho Doce em Conserva;milho em conserva
375;broa de milho;broa de milho
376;perna de borrego;perna de borrego
377;batata primor;batata primor
378;cabeça alho;cabeça alho
379;azeitona verde sem caroço;azeitona sem caroço
380;alho moído;alho moído
381;tomilho seco;tomilho seco
382;couve-roxa ripada;couve-roxa ripada
